label_id	type	type_color
12369.0	foregut_neurons	255-23-190-207
12371.0	foregut_neurons	255-23-190-207
12372.0	foregut_neurons	255-23-190-207
12373.0	foregut_neurons	255-23-190-207
12374.0	foregut_muscles	255-255-187-120
12382.0	foregut_muscles	255-255-187-120
12384.0	foregut_neurons	255-23-190-207
12386.0	foregut_neurons	255-23-190-207
12388.0	foregut_neurons	255-23-190-207
12389.0	foregut_neurons	255-23-190-207
12390.0	foregut_muscles	255-255-187-120
12407.0	foregut_muscles	255-255-187-120
12410.0	foregut_neurons	255-23-190-207
12420.0	foregut_muscles	255-255-187-120
12483.0	foregut_muscles	255-255-187-120
12498.0	foregut_neurons	255-23-190-207
12512.0	foregut_muscles	255-255-187-120
12514.0	forgut_epithelium	255-188-189-34
12515.0	foregut_neurons	255-23-190-207
12516.0	foregut_neurons	255-23-190-207
12517.0	foregut_neurons	255-23-190-207
12519.0	foregut_muscles	255-255-187-120
12540.0	foregut_muscles	255-255-187-120
12548.0	foregut_neurons	255-23-190-207
12550.0	foregut_neurons	255-23-190-207
12552.0	foregut_muscles	255-255-187-120
12564.0	foregut_neurons	255-23-190-207
12566.0	foregut_neurons	255-23-190-207
12567.0	foregut_neurons	255-23-190-207
12568.0	foregut_neurons	255-23-190-207
12569.0	forgut_epithelium	255-188-189-34
12570.0	forgut_epithelium	255-188-189-34
12584.0	foregut_muscles	255-255-187-120
12588.0	foregut_neurons	255-23-190-207
12589.0	foregut_neurons	255-23-190-207
12590.0	foregut_neurons	255-23-190-207
12593.0	foregut_muscles	255-255-187-120
12595.0	forgut_epithelium	255-188-189-34
12604.0	foregut_neurons	255-23-190-207
12605.0	forgut_epithelium	255-188-189-34
12615.0	foregut_muscles	255-255-187-120
12680.0	foregut_muscles	255-255-187-120
12697.0	foregut_muscles	255-255-187-120
12698.0	foregut_muscles	255-255-187-120
12705.0	foregut_neurons	255-23-190-207
12706.0	foregut_neurons	255-23-190-207
12707.0	foregut_neurons	255-23-190-207
12710.0	foregut_neurons	255-23-190-207
12713.0	foregut_muscles	255-255-187-120
12714.0	foregut_muscles	255-255-187-120
12723.0	foregut_muscles	255-255-187-120
12725.0	foregut_muscles	255-255-187-120
12728.0	foregut_muscles	255-255-187-120
12730.0	foregut_neurons	255-23-190-207
12732.0	foregut_neurons	255-23-190-207
12733.0	foregut_neurons	255-23-190-207
12734.0	foregut_neurons	255-23-190-207
12744.0	foregut_neurons	255-23-190-207
12745.0	foregut_neurons	255-23-190-207
12748.0	foregut_neurons	255-23-190-207
12750.0	forgut_epithelium	255-188-189-34
12753.0	foregut_neurons	255-23-190-207
12754.0	foregut_neurons	255-23-190-207
12757.0	foregut_neurons	255-23-190-207
12758.0	foregut_neurons	255-23-190-207
12760.0	foregut_neurons	255-23-190-207
12766.0	foregut_muscles	255-255-187-120
12768.0	foregut_neurons	255-23-190-207
12769.0	foregut_neurons	255-23-190-207
12770.0	foregut_neurons	255-23-190-207
12773.0	foregut_neurons	255-23-190-207
12787.0	foregut_neurons	255-23-190-207
12788.0	foregut_neurons	255-23-190-207
12789.0	foregut_neurons	255-23-190-207
12790.0	foregut_neurons	255-23-190-207
12793.0	foregut_neurons	255-23-190-207
12794.0	foregut_neurons	255-23-190-207
12795.0	forgut_epithelium	255-188-189-34
12796.0	foregut_neurons	255-23-190-207
12800.0	forgut_epithelium	255-188-189-34
12815.0	foregut_neurons	255-23-190-207
12816.0	foregut_neurons	255-23-190-207
12912.0	foregut_muscles	255-255-187-120
12914.0	foregut_muscles	255-255-187-120
12917.0	foregut_muscles	255-255-187-120
12920.0	foregut_neurons	255-23-190-207
12921.0	foregut_neurons	255-23-190-207
12923.0	foregut_neurons	255-23-190-207
12925.0	foregut_neurons	255-23-190-207
12927.0	foregut_muscles	255-255-187-120
12950.0	foregut_muscles	255-255-187-120
12951.0	foregut_muscles	255-255-187-120
12955.0	foregut_neurons	255-23-190-207
12957.0	foregut_muscles	255-255-187-120
12967.0	foregut_muscles	255-255-187-120
12970.0	foregut_muscles	255-255-187-120
12973.0	foregut_neurons	255-23-190-207
12974.0	foregut_neurons	255-23-190-207
12976.0	foregut_neurons	255-23-190-207
12986.0	foregut_neurons	255-23-190-207
